"id","author","authorRank","title","avg_rating","num_ratings","favBook","favAuthor","x","y","pathOrder"
1,"J. K. Rowling",1,"Harry Potter and the Sorcerer's Stone","4.43",4222665,1,1,6.505,-12.19,9
2,"J. K. Rowling",1,"Harry Potter and the Prisoner of Azkaban","4.51",1786851,1,1,-40.335,-34.429,1
3,"J. K. Rowling",1,"Harry Potter and the Deathly Hallows","4.6",1688191,0,1,20.258,18.1435,7
4,"J. K. Rowling",1,"Harry Potter and the Goblet of Fire","4.51",1697059,1,1,-16.771,5.923,4
5,"J. K. Rowling",1,"Harry Potter and the Order of the Phoenix","4.45",1706789,0,1,7.40849999999998,13.3685,6
6,"J. K. Rowling",1,"Harry Potter and the Chamber of Secrets","4.35",1721691,1,1,-1.0745,7.34049999999999,5
7,"J. K. Rowling",1,"Harry Potter and the Half-Blood Prince","4.52",1634957,1,1,-23.921,-8.6385,3
8,"J. K. Rowling",1,"The Tales of Beedle the Bard","4.03",272347,0,1,-45.147,-8.252,2
9,"J. K. Rowling",1,"Harry Potter and the Cursed Child - Parts One and Two","3.83",223266,0,1,21.1345,-13.156,8
10,"Bella Forrest",2,"A Shade of Vampire","3.83",35700,0,0,20.7195,9.8385,5
11,"Bella Forrest",2,"A Shade of Blood","4",21431,0,0,37.8035,-10.204,8
12,"Bella Forrest",2,"A Castle of Sand","4.09",16336,0,0,-10.9295,-13.158,10
13,"Bella Forrest",2,"A Shadow of Light","4.09",14133,0,0,24.646,12.8,6
14,"Bella Forrest",2,"A Blaze of Sun","4.14",11910,0,0,18.9805,24.413,4
15,"Bella Forrest",2,"A Gate of Night","4.19",8871,0,0,-8.866,47.365,1
16,"Bella Forrest",2,"A Break of Day","4.17",7098,0,0,-6.8615,43.8135,2
17,"Bella Forrest",2,"A Shade of Novak","4.35",4293,0,0,26.3055,11.291,7
18,"Bella Forrest",2,"A Bond of Blood","4.34",3820,0,0,31.335,-9.033,9
19,"Bella Forrest",2,"A Spell of Time","4.35",3312,0,0,-2.8805,43.3495,3
20,"Jeff Wheeler",3,"The Wretched of Muirwood","3.94",10277,0,0,-27.1515,-37.1395,4
21,"Jeff Wheeler",3,"The Blight of Muirwood","4.1",8154,0,0,-27.4705,-38.229,3
22,"Jeff Wheeler",3,"The Scourge of Muirwood","4.07",7374,0,0,-36.03,-27.095,5
23,"Jeff Wheeler",3,"The Queen's Poisoner","4.06",7119,0,0,-38.732,-2.19700000000001,7
24,"Jeff Wheeler",3,"The Thief's Daughter","4.33",3144,0,0,-40.849,-9.93,6
25,"Jeff Wheeler",3,"Fireblood","3.88",2857,0,0,-16.537,26.484,9
26,"Jeff Wheeler",3,"The King's Traitor","4.47",2373,0,0,-17.435,-3.5885,8
27,"Jeff Wheeler",3,"The Banished of Muirwood","4.01",2294,0,0,-24.764,-37.8315,1
28,"Jeff Wheeler",3,"Dryad-Born","4.18",1836,0,0,-3.532,29.9965,10
29,"Jeff Wheeler",3,"The Void of Muirwood","4.28",1756,0,0,-27.214,-39.29,2
30,"Diana Gabaldon",4,"Outlander","4.19",508773,0,0,-5.287,-8.937,3
31,"Diana Gabaldon",4,"Dragonfly in Amber","4.3",187772,0,0,10.4675,-1.325,4
32,"Diana Gabaldon",4,"Voyager","4.37",161447,0,0,-9.2095,-8.1415,2
33,"Diana Gabaldon",4,"Drums of Autumn","4.33",129838,0,0,-14.3405,46.682,10
34,"Diana Gabaldon",4,"The Fiery Cross","4.26",108123,0,0,3.9235,15.954,9
35,"Diana Gabaldon",4,"A Breath of Snow and Ashes","4.42",93020,0,0,29.0385,-26.947,5
36,"Diana Gabaldon",4,"An Echo in the Bone","4.41",76702,0,0,38.8515,-16.245,6
37,"Diana Gabaldon",4,"Written in My Own Heart's Blood","4.48",53718,0,0,40.161,-14.712,7
38,"Diana Gabaldon",4,"Lord John and the Private Matter","3.64",29982,0,0,38.108,23.463,8
39,"Diana Gabaldon",4,"The Scottish Prisoner","4.18",19365,0,0,-28.399,-5.6655,1
40,"George R. R. Martin",5,"A Game of Thrones","4.44",1288488,0,0,-15.3565,-12.501,6
41,"George R. R. Martin",5,"A Clash of Kings","4.4",559686,0,0,-21.281,-14.761,7
42,"George R. R. Martin",5,"A Storm of Swords","4.54",485015,0,0,8.68549999999999,-47.9145,3
43,"George R. R. Martin",5,"A Feast for Crows","4.08",440967,0,0,-31.0285,30.4055,9
44,"George R. R. Martin",5,"A Dance with Dragons","4.29",385551,0,0,7.706,7.199,5
45,"George R. R. Martin",5,"A Storm of Swords: Blood and Gold","4.56",60084,0,0,5.6395,-47.394,2
46,"George R. R. Martin",5,"A Storm of Swords: Steel and Snow","4.49",48346,0,0,5.8,-45.942,1
47,"George R. R. Martin",5,"A Song of Ice and Fire","4.63",37127,0,0,27.6225,-23.3605,4
48,"George R. R. Martin",5,"A Game of Thrones / A Clash of Kings","4.53",21738,0,0,-19.911,-12.1895,8
49,"J. R. R. Tolkien",6,"The Hobbit","4.23",2030162,0,0,-5.679,-3.183,5
50,"J. R. R. Tolkien",6,"The Fellowship of the Ring","4.32",1659391,0,0,18.5685,41.533,1
51,"J. R. R. Tolkien",6,"The Two Towers","4.41",489619,0,0,-10.456,-40.6845,9
52,"J. R. R. Tolkien",6,"The Return of the King","4.5",471683,0,0,-7.008,26.387,3
53,"J. R. R. Tolkien",6,"The Lord of the Rings","4.46",404464,0,0,-13.6525,-8.4345,6
54,"J. R. R. Tolkien",6,"The Silmarillion","3.85",147625,0,0,-26.045,-29.78,8
55,"J. R. R. Tolkien",6,"The Children of Hurin","3.93",43257,0,0,-27.084,-28.267,7
